"box_color","argID","argType","argValue"
"gold","1","advantage","size customization for free by our tailor"
"gold","2","advantage","delivery in less than 5 business days"
"gold","3","advantage","return 100% free"
"gold","4","advantage","access to the entire item catalog"
"gold","5","advantage","free shipping"
"regular","1","advantage","size customization for free by our tailor"
"regular","2","advantage","delivery in less than 5 business days"
"regular","3","advantage","return 100% free"
"regular","4","advantage","access to the entire item catalog"
"regular","5","drawback","free shipping"
"silver","1","advantage","size customization for free by our tailor"
"silver","2","advantage","delivery in less than 5 business days"
"silver","3","advantage","return 100% free"
"silver","4","advantage","access to the entire item catalog"
"silver","5","advantage","free shipping"
