"size_name","body_part","unit_name","value"
"3xl","arm","centimeter","88.39"
"3xl","bust","centimeter","89.34"
"3xl","hip","centimeter","89.91"
"3xl","inseam","centimeter","87.78"
"3xl","waist","centimeter","82.34"
"4xl","arm","centimeter","95.4"
"4xl","bust","centimeter","98.41"
"4xl","hip","centimeter","97.9"
"4xl","inseam","centimeter","100.14"
"4xl","waist","centimeter","100.56"
"l","arm","centimeter","54.35"
"l","bust","centimeter","57.25"
"l","hip","centimeter","57.11"
"l","inseam","centimeter","57.24"
"l","waist","centimeter","58.65"
"m","arm","centimeter","48.62"
"m","bust","centimeter","41.62"
"m","hip","centimeter","47.15"
"m","inseam","centimeter","50.02"
"m","waist","centimeter","47.71"
"s","arm","centimeter","34.53"
"s","bust","centimeter","37.31"
"s","hip","centimeter","36.58"
"s","inseam","centimeter","36.15"
"s","waist","centimeter","39.48"
"xl","arm","centimeter","65.06"
"xl","bust","centimeter","61.06"
"xl","hip","centimeter","63.47"
"xl","inseam","centimeter","65.75"
"xl","waist","centimeter","62.46"
